team,season,captain_name,source_page,alternate_data_available
Columbus Blue Jackets,2015-16,Nick Foligno,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
Columbus Blue Jackets,2016-17,Nick Foligno,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
Columbus Blue Jackets,2017-18,Nick Foligno,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
Columbus Blue Jackets,2018-19,Nick Foligno,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
Columbus Blue Jackets,2019-20,Nick Foligno,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
Columbus Blue Jackets,2020-21,Nick Foligno,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
Columbus Blue Jackets,2021-22,Boone Jenner,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
Columbus Blue Jackets,2022-23,Boone Jenner,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
Columbus Blue Jackets,2023-24,Boone Jenner,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
Columbus Blue Jackets,2024-25,Boone Jenner,https://en.wikipedia.org/wiki/List_of_Columbus_Blue_Jackets_captains,FALSE
Dallas Stars,2012-13,Jamie Benn,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
Dallas Stars,2013-14,Jamie Benn,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
Dallas Stars,2014-15,Jamie Benn,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
Dallas Stars,2015-16,Jamie Benn,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
Dallas Stars,2016-17,Jamie Benn,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
Dallas Stars,2017-18,Jamie Benn,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
Dallas Stars,2018-19,Jamie Benn,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
Dallas Stars,2019-20,Jamie Benn,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
Dallas Stars,2020-21,Jamie Benn,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
Dallas Stars,2021-22,Jamie Benn,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
Dallas Stars,2022-23,Jamie Benn,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
Dallas Stars,2023-24,Jamie Benn,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
Dallas Stars,2024-25,Jamie Benn,https://en.wikipedia.org/wiki/List_of_Dallas_Stars_captains,FALSE
Detroit Red Wings,2012-13,Henrik Zetterberg,https://en.wikipedia.org/wiki/List_of_Detroit_Red_Wings_captains,FALSE
Detroit Red Wings,2013-14,Henrik Zetterberg,https://en.wikipedia.org/wiki/List_of_Detroit_Red_Wings_captains,FALSE
Detroit Red Wings,2014-15,Henrik Zetterberg,https://en.wikipedia.org/wiki/List_of_Detroit_Red_Wings_captains,FALSE
Detroit Red Wings,2015-16,Henrik Zetterberg,https://en.wikipedia.org/wiki/List_of_Detroit_Red_Wings_captains,FALSE
Detroit Red Wings,2016-17,Henrik Zetterberg,https://en.wikipedia.org/wiki/List_of_Detroit_Red_Wings_captains,FALSE
Detroit Red Wings,2017-18,Henrik Zetterberg,https://en.wikipedia.org/wiki/List_of_Detroit_Red_Wings_captains,FALSE
Detroit Red Wings,2021-22,Dylan Larkin,https://en.wikipedia.org/wiki/List_of_Detroit_Red_Wings_captains,FALSE
Detroit Red Wings,2022-23,Dylan Larkin,https://en.wikipedia.org/wiki/List_of_Detroit_Red_Wings_captains,FALSE
Detroit Red Wings,2023-24,Dylan Larkin,https://en.wikipedia.org/wiki/List_of_Detroit_Red_Wings_captains,FALSE
Detroit Red Wings,2024-25,Dylan Larkin,https://en.wikipedia.org/wiki/List_of_Detroit_Red_Wings_captains,FALSE
Edmonton Oilers,2012-13,Andrew Ference,https://en.wikipedia.org/wiki/List_of_Edmonton_Oilers_captains,FALSE
Edmonton Oilers,2013-14,Andrew Ference,https://en.wikipedia.org/wiki/List_of_Edmonton_Oilers_captains,FALSE
Edmonton Oilers,2014-15,Andrew Ference,https://en.wikipedia.org/wiki/List_of_Edmonton_Oilers_captains,FALSE
Edmonton Oilers,2015-16,Andrew Ference,https://en.wikipedia.org/wiki/List_of_Edmonton_Oilers_captains,FALSE
