player_name,position,signing_team,previous_team,contract_value,aav,contract_years,signing_year,signing_date,contract_type
Tomas Hertl,C,San Jose Sharks,NA,4050000,1350000,3,2013,2013-06-03,RFA
Travis Hamonic,RD,New York Islanders,New York Islanders,27000000,3857143,7,2013,2013-07-05,UFA
Trevor Lewis,"C, RW, LW",Los Angeles Kings,Los Angeles Kings,1325000,1325000,1,2013,2013-07-23,UFA
Tristan Jarry,G,Pittsburgh Penguins,NA,2775000,925000,3,2013,2013-09-08,RFA
Troy Grosenick,G,San Jose Sharks,NA,925000,1268571,1,2013,2013-04-08,RFA
Valeri Nichushkin,"LW, RW",Dallas Stars,NA,6375000,2125000,3,2013,2013-07-06,other
William Carrier,LW,St. Louis Blues,NA,2725000,908333,3,2013,2013-08-19,RFA
William Karlsson,C,Anaheim Ducks,NA,2775000,925000,3,2013,2013-05-19,RFA
Zac Dalpe,C,Carolina Hurricanes,Carolina Hurricanes,550000,550000,1,2013,2013-07-23,UFA
Zach Bogosian,RD,Winnipeg Jets,Winnipeg Jets,36000000,5142857,7,2013,2013-07-29,UFA
Aaron Ekblad,RD,Florida Panthers,NA,11325000,3775000,3,2014,2014-09-07,RFA
Adam Larsson,"RD, LD",New Jersey Devils,New Jersey Devils,900000,900000,1,2014,2014-07-01,other
Adam Pelech,LD,New York Islanders,NA,2775000,925000,3,2014,2014-03-15,RFA
Alec Martinez,"LD, RD",Los Angeles Kings,Los Angeles Kings,24000000,4000000,6,2014,2014-12-04,UFA
Alex Killorn,"LW, RW",Tampa Bay Lightning,Tampa Bay Lightning,5100000,2550000,2,2014,2014-06-20,other
Alexander Wennberg,C,Columbus Blue Jackets,NA,4200000,1400000,3,2014,2014-05-26,RFA
Anders Lee,"LW, RW",New York Islanders,New York Islanders,850500,850500,1,2014,2014-07-11,other
Andrei Vasilevskiy,G,Tampa Bay Lightning,NA,4425000,1475000,3,2014,2014-05-06,RFA
Anthony Duclair,LW,New York Rangers,NA,2775000,925000,3,2014,2014-01-09,RFA
Barclay Goodrow,"C, RW",San Jose Sharks,NA,1880000,626667,3,2014,2014-03-06,other
Ben Chiarot,"LD, RD",Winnipeg Jets,Winnipeg Jets,600000,600000,1,2014,2014-07-26,other
Ben Harpur,LD,Ottawa Senators,NA,2320000,748333,3,2014,2014-11-06,RFA
Brayden McNabb,"RD, LD",Los Angeles Kings,Buffalo Sabres,1300000,650000,2,2014,2014-07-15,other
Brayden Schenn,"C, LW, RW",Philadelphia Flyers,Philadelphia Flyers,5000000,2500000,2,2014,2014-06-26,other
Brendan Gallagher,RW,Montreal Canadiens,Montréal Canadiens,22500000,3750000,6,2014,2014-11-29,UFA
Brenden Dillon,"LD, RD",Dallas Stars,Dallas Stars,1250000,1250000,1,2014,2014-10-05,other
Brett Kulak,"LD, RD",Calgary Flames,NA,2450000,816667,3,2014,2014-03-18,RFA
Bryan Rust,"RW, LW",Pittsburgh Penguins,NA,1800000,900000,2,2014,2014-04-01,other
Calvin de Haan,"LD, RD",New York Islanders,New York Islanders,5900000,1966667,3,2014,2014-07-15,other
Cam Talbot,G,New York Rangers,New York Rangers,1450000,1450000,1,2014,2014-12-20,UFA
Carter Verhaeghe,"RW, LW, C",Toronto Maple Leafs,NA,2775000,925000,3,2014,2014-04-02,RFA
Casey Cizikas,"LW, C",New York Islanders,New York Islanders,2000000,1000000,2,2014,2014-07-15,other
