contract_id,walk_year_position_group,walk_year_toi_per_game,walk_year_toi_total,walk_year_games,walk_year_goals,walk_year_assists,walk_year_points,walk_year_points_per_game,post_signing_seasons_observed,post_signing_avg_toi_per_game,post_signing_avg_points_per_game,contract_complete,post_signing_toi_change,post_signing_points_change,trajectory_prior_seasons_found,trajectory_toi_slope,trajectory_points_slope,trajectory,tier_toi_percentile,tier
1389,forward,18.88394166666666,1548.4832166666663,82,29,48,77,0.9390243902439024,7,21.564395476190477,1.3565936528453622,FALSE,2.680453809523815,0.41756926260145977,2,5.363299999997967,0.46509009008991375,rising,0.9372881355932203,top
1390,forward,20.695471666666666,1676.333205,81,41,65,106,1.308641975308642,1,21.64975333333333,1.4852941176470589,FALSE,0.9542816666666631,0.17665214233841686,2,-0.6152083333331031,0.2249999999999151,declining,0.9710467706013363,top
1391,NA,NA,NA,NA,NA,NA,NA,NA,3,15.377850555555556,0.5961733739511517,TRUE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
1392,forward,14.987448333333333,1213.983315,81,13,13,26,0.32098765432098764,2,13.845155,0.3486774304362762,TRUE,-1.142293333333333,0.027689776115288556,2,-0.8538966666663409,-0.5324675324673304,declining,0.6406779661016949,middle
1393,forward,13.289905000000001,943.583255,71,13,14,27,0.38028169014084506,1,12.511216666666666,0.23076923076923078,FALSE,-0.778688333333335,-0.14951245937161428,3,-0.37284916666678036,-0.07522964840039294,declining,0.4689655172413793,middle
1394,NA,NA,NA,NA,NA,NA,NA,NA,4,17.06348458333333,0.6501059497079092,TRUE,NA,NA,3,-0.9445941666668886,-0.04315196998125789,declining,NA,NA
1395,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,FALSE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
1396,defense,12.533333333333331,250.66666666666663,20,0,1,1,0.05,1,13.665185000000001,0.3111111111111111,TRUE,1.1318516666666696,0.2611111111111111,1,NA,NA,insufficient_history,0.11728395061728394,fringe
1397,defense,13.665185000000001,614.9333250000001,45,4,10,14,0.3111111111111111,1,16.282406666666667,0.1111111111111111,FALSE,2.6172216666666657,-0.2,2,-4.261689999998384,-0.0694029850746005,declining,0.13953488372093023,fringe
1398,defense,16.282406666666667,586.16664,36,2,2,4,0.1111111111111111,2,14.458069166666666,0.12140804597701149,TRUE,-1.8243375000000004,0.010296934865900387,2,1.131851666666836,0.26111111111114954,rising,0.40406976744186046,middle
