player_id,player_name,name_key,name_key_ascii,first_name,last_name,first_name_key,last_name_key,name_key_first_last
8473931,Lee Sweatt,lee sweatt,lee sweatt,Lee,Sweatt,lee,sweatt,lee sweatt
8462093,Peter Schaefer,peter schaefer,peter schaefer,Peter,Schaefer,peter,schaefer,peter schaefer
8474601,Yann Sauve,yann sauve,yann sauve,Yann,Sauve,yann,sauve,yann sauve
8474651,Braden Holtby,braden holtby,braden holtby,Braden,Holtby,braden,holtby,braden holtby
8468599,Brian Fahey,brian fahey,brian fahey,Brian,Fahey,brian,fahey,brian fahey
8475149,Marcus Johansson,marcus johansson,marcus johansson,Marcus,Johansson,marcus,johansson,marcus johansson
8473913,Sean Collins,sean collins,sean collins,Sean,Collins,sean,collins,sean collins
8475758,Devante Smith-Pelly,devante smith-pelly,devante smith-pelly,Devante,Smith-Pelly,devante,smith-pelly,devante smith-pelly
8476243,Iiro Tarkki,iiro tarkki,iiro tarkki,Iiro,Tarkki,iiro,tarkki,iiro tarkki
8467335,Mark Bell,mark bell,mark bell,Mark,Bell,mark,bell,mark bell
8475162,Mat Clark,mat clark,mat clark,Mat,Clark,mat,clark,mat clark
8474139,Maxime Macenauer,maxime macenauer,maxime macenauer,Maxime,Macenauer,maxime,macenauer,maxime macenauer
8474034,Patrick Maroon,patrick maroon,patrick maroon,Patrick,Maroon,patrick,maroon,patrick maroon
8475180,Peter Holland,peter holland,peter holland,Peter,Holland,peter,holland,peter holland
8476211,Carter Camper,carter camper,carter camper,Carter,Camper,carter,camper,carter camper
8475283,Lane MacDermid,lane macdermid,lane macdermid,Lane,MacDermid,lane,macdermid,lane macdermid
8474607,Max Sauve,max sauve,max sauve,Max,Sauve,max,sauve,max sauve
8476792,Torey Krug,torey krug,torey krug,Torey,Krug,torey,krug,torey krug
8475188,Brayden McNabb,brayden mcnabb,brayden mcnabb,Brayden,McNabb,brayden,mcnabb,brayden mcnabb
8474130,Corey Tropp,corey tropp,corey tropp,Corey,Tropp,corey,tropp,corey tropp
8474500,Derek Whitmore,derek whitmore,derek whitmore,Derek,Whitmore,derek,whitmore,derek whitmore
8469569,Drew MacIntyre,drew macintyre,drew macintyre,Drew,MacIntyre,drew,macintyre,drew macintyre
8471701,Joe Finley,joe finley,joe finley,Joe,Finley,joe,finley,joe finley
8475220,Marcus Foligno,marcus foligno,marcus foligno,Marcus,Foligno,marcus,foligno,marcus foligno
8474113,TJ Brennan,tj brennan,tj brennan,TJ,Brennan,tj,brennan,tj brennan
8475102,Travis Turnbull,travis turnbull,travis turnbull,Travis,Turnbull,travis,turnbull,travis turnbull
8475178,Zack Kassian,zack kassian,zack kassian,Zack,Kassian,zack,kassian,zack kassian
