player_id,player_name,match_status,position,signing_team,signing_team_abbr,previous_team,previous_team_abbr,contract_value,aav,contract_years,signing_year,season_start,season,signing_date,contract_type
8479370,Tyson Jost,exact,"C, RW, LW",Colorado Avalanche,COL,Colorado Avalanche,COL,4000000,2000000,2,2021,2021,20212022,2021-07-30,other
8481703,Valtteri Puustinen,exact,"RW, LW",Pittsburgh Penguins,PIT,NA,NA,1850000,925000,2,2021,2021,20212022,2021-05-06,other
8481617,Vasily Podkolzin,exact,"RW, LW",Vancouver Canucks,VAN,NA,NA,5325000,1775000,3,2021,2021,20212022,2021-05-30,RFA
NA,Ville Koivunen,unmatched,RW,Carolina Hurricanes,CAR,NA,NA,2825000,925000,3,2021,2021,20212022,2021-08-15,RFA
8478407,Vince Dunn,exact,"LD, RD",Seattle Kraken,SEA,St. Louis Blues,STL,8000000,4000000,2,2021,2021,20212022,2021-08-06,other
8482861,Vincent Iorio,exact,RD,Washington Capitals,WSH,NA,NA,2775000,925000,3,2021,2021,20212022,2021-10-04,RFA
8479968,Vinni Lettieri,exact,"RW, LW, C",Anaheim Ducks,ANA,Anaheim Ducks,ANA,750000,750000,1,2021,2021,20212022,2021-07-13,UFA
8476994,Vinnie Hinostroza,exact,"RW, C",Buffalo Sabres,BUF,Florida Panthers,FLA,1050000,1050000,1,2021,2021,20212022,2021-07-28,UFA
8482652,Walker Duehr,exact,"RW, C",Calgary Flames,CGY,NA,NA,1655000,827500,2,2021,2021,20212022,2021-04-11,other
8477998,Warren Foegele,exact,"LW, RW",Edmonton Oilers,EDM,Carolina Hurricanes,CAR,8250000,2750000,3,2021,2021,20212022,2021-07-31,UFA
8478840,Will Borgen,exact,RD,Seattle Kraken,SEA,Buffalo Sabres,BUF,1800000,900000,2,2021,2021,20212022,2021-08-05,other
8482157,Will Cuylle,exact,"LW, RW",New York Rangers,NYR,NA,NA,2800000,925000,3,2021,2021,20212022,2021-04-19,RFA
8482667,William Eklund,exact,"LW, RW, C",San Jose Sharks,SJS,NA,NA,5325000,1775000,3,2021,2021,20212022,2021-08-14,RFA
8482174,William Villeneuve,exact,RD,Toronto Maple Leafs,TOR,NA,NA,2530000,835000,3,2021,2021,20212022,2021-09-25,RFA
8482740,Wyatt Johnston,exact,"C, RW, LW",Dallas Stars,DAL,NA,NA,3093750,1031250,3,2021,2021,20212022,2021-09-28,RFA
NA,Yan Kuznetsov,unmatched,"RD, LD",Calgary Flames,CGY,NA,NA,2775000,925000,3,2021,2021,20212022,2021-03-30,RFA
8482475,Yegor Chinakhov,exact,"LW, RW",Columbus Blue Jackets,CBJ,NA,NA,3975000,1325000,3,2021,2021,20212022,2021-05-03,other
8481068,Yegor Sharangovich,exact,"RW, C, LW",New Jersey Devils,NJD,New Jersey Devils,NJD,4000000,2000000,2,2021,2021,20212022,2021-08-05,other
8474610,Zac Dalpe,exact,C,Florida Panthers,FLA,Columbus Blue Jackets,CBJ,1500000,750000,2,2021,2021,20212022,2021-07-30,UFA
8481708,Zac Jones,exact,"LD, RD",New York Rangers,NYR,New York Rangers,NYR,2775000,925000,3,2021,2021,20212022,2021-04-13,RFA
8479944,Zach Aston-Reese,first_name_variant,C,Pittsburgh Penguins,PIT,Pittsburgh Penguins,PIT,1725000,1725000,1,2021,2021,20212022,2021-08-05,UFA
8474567,Zach Bogosian,exact,RD,Tampa Bay Lightning,TBL,Toronto Maple Leafs,TOR,2550000,850000,3,2021,2021,20212022,2021-07-28,UFA
NA,Zach Dean,unmatched,C,Vegas Golden Knights,VGK,NA,NA,2775000,925000,3,2021,2021,20212022,2021-12-02,RFA
8475786,Zach Hyman,exact,"LW, RW",Edmonton Oilers,EDM,Toronto Maple Leafs,TOR,38500000,5500000,7,2021,2021,20212022,2021-07-28,UFA
8478460,Zach Werenski,exact,LD,Columbus Blue Jackets,CBJ,Columbus Blue Jackets,CBJ,57500000,9583333,6,2021,2021,20212022,2021-07-29,UFA
