player_id,canonical_name,all_name_variants,normalized_keys,normalized_ascii_keys
8477491,Nick Baptiste,Nick Baptiste,nick baptiste,nick baptiste
8477492,Nathan MacKinnon,Nathan MacKinnon,nathan mackinnon,nathan mackinnon
8477493,Aleksander Barkov,Aleksander Barkov,aleksander barkov,aleksander barkov
8477494,Jonathan Drouin,Jonathan Drouin,jonathan drouin,jonathan drouin
8477495,Seth Jones,Seth Jones,seth jones,seth jones
8477496,Elias Lindholm,Elias Lindholm,elias lindholm,elias lindholm
8477497,Sean Monahan,Sean Monahan,sean monahan,sean monahan
8477498,Darnell Nurse,Darnell Nurse,darnell nurse,darnell nurse
8477499,Rasmus Ristolainen,Rasmus Ristolainen,rasmus ristolainen,rasmus ristolainen
8477500,Bo Horvat,Bo Horvat,bo horvat,bo horvat
8477501,Valeri Nichushkin,Valeri Nichushkin,valeri nichushkin,valeri nichushkin
8477502,Samuel Morin,Samuel Morin,samuel morin,samuel morin
8477503,Max Domi,Max Domi,max domi,max domi
8477504,Josh Morrissey,Josh Morrissey,josh morrissey,josh morrissey
8477505,Alexander Wennberg,Alex Wennberg | Alexander Wennberg,alex wennberg | alexander wennberg,alex wennberg | alexander wennberg
8477506,Ryan Pulock,Ryan Pulock,ryan pulock,ryan pulock
8477507,Nikita Zadorov,Nikita Zadorov,nikita zadorov,nikita zadorov
8477508,Curtis Lazar,Curtis Lazar,curtis lazar,curtis lazar
8477509,Mirco Mueller,Mirco Mueller,mirco mueller,mirco mueller
8477510,Kerby Rychel,Kerby Rychel,kerby rychel,kerby rychel
8477511,Anthony Mantha,Anthony Mantha,anthony mantha,anthony mantha
8477512,Frederik Gauthier,Frederik Gauthier,frederik gauthier,frederik gauthier
8477520,Jean-Sebastien Dea,Jean-Sebastien Dea,jean-sebastien dea,jean-sebastien dea
8477527,Ross Johnston,Ross Johnston,ross johnston,ross johnston
8477529,Colby Cave,Colby Cave,colby cave,colby cave
8477541,Dakota Mermis,Dakota Mermis,dakota mermis,dakota mermis
8477544,Philippe Maillet,Philippe Maillet,philippe maillet,philippe maillet
8477566,Sergey Tolchinsky,Sergey Tolchinsky,sergey tolchinsky,sergey tolchinsky
8477573,Nathan Walker,Nathan Walker,nathan walker,nathan walker
8477583,Curtis Valk,Curtis Valk,curtis valk,curtis valk
8477589,Ronalds Kenins,Ronalds Kenins,ronalds kenins,ronalds kenins
8477591,Josh Jooris,Josh Jooris,josh jooris,josh jooris
8477631,Brandon Baddock,Brandon Baddock,brandon baddock,brandon baddock
8477634,Trevor Murphy,Trevor Murphy,trevor murphy,trevor murphy
8477642,Rinat Valiev,Rinat Valiev,rinat valiev,rinat valiev
8477680,Josh Currie,Josh Currie,josh currie,josh currie
8477715,Tyler Gaudet,Tyler Gaudet,tyler gaudet,tyler gaudet
8477810,Joel Hanley,Joel Hanley,joel hanley,joel hanley
8477814,Kevin Czuczman,Kevin Czuczman,kevin czuczman,kevin czuczman
8477816,Michael Zalewski,Michael Zalewski,michael zalewski,michael zalewski
8477831,Pheonix Copley,Pheonix Copley,pheonix copley,pheonix copley
8477839,Conor Sheary,Conor Sheary,conor sheary,conor sheary
8477845,Trevor van Riemsdyk,Trevor van Riemsdyk,trevor van riemsdyk,trevor van riemsdyk
8477846,Ryan Carpenter,Ryan Carpenter,ryan carpenter,ryan carpenter
8477850,Christian Folin,Christian Folin,christian folin,christian folin
8477851,Jordan Oesterle,Jordan Oesterle,jordan oesterle,jordan oesterle
8477865,Jake Chelios,Jake Chelios,jake chelios,jake chelios
8477881,Connor Jones,Connor Jones,connor jones,connor jones
8477887,Patrick Brown,Patrick Brown,patrick brown,patrick brown
8477901,Daniel Carr,Daniel Carr,daniel carr,daniel carr
8477902,Dennis Everberg,Dennis Everberg,dennis everberg,dennis everberg
8477903,Garnet Hathaway,Garnet Hathaway,garnet hathaway,garnet hathaway
8477914,Roman Will,Roman Will,roman will,roman will
8477916,Borna Rendulic,Borna Rendulic,borna rendulic,borna rendulic
8477919,Frederick Gaudreau,Frederick Gaudreau,frederick gaudreau,frederick gaudreau
8477922,Melker Karlsson,Melker Karlsson,melker karlsson,melker karlsson
8477923,Michael Keranen,Michael Keranen,michael keranen,michael keranen
8477929,Dennis Rasmussen,Dennis Rasmussen,dennis rasmussen,dennis rasmussen
8477930,Pierre-Edouard Bellemare,Pierre-Edouard Bellemare,pierre-edouard bellemare,pierre-edouard bellemare
8477931,Tomas Nosek,Tomas Nosek,tomas nosek,tomas nosek
8477932,Aaron Ekblad,Aaron Ekblad,aaron ekblad,aaron ekblad
8477933,Sam Reinhart,Sam Reinhart,sam reinhart,sam reinhart
8477934,Leon Draisaitl,Leon Draisaitl,leon draisaitl,leon draisaitl
8477935,Sam Bennett,Sam Bennett,sam bennett,sam bennett
8477936,Michael Dal Colle,Michael Dal Colle,michael dal colle,michael dal colle
8477937,Jake Virtanen,Jake Virtanen,jake virtanen,jake virtanen
8477938,Haydn Fleury,Haydn Fleury,haydn fleury,haydn fleury
8477939,William Nylander,William Nylander,william nylander,william nylander
8477940,Nikolaj Ehlers,Nikolaj Ehlers,nikolaj ehlers,nikolaj ehlers
8477941,Nick Ritchie,Nick Ritchie,nick ritchie,nick ritchie
8477942,Kevin Fiala,Kevin Fiala,kevin fiala,kevin fiala
8477943,Brendan Perlini,Brendan Perlini,brendan perlini,brendan perlini
8477944,Jakub Vrana,Jakub Vrana,jakub vrana,jakub vrana
8477945,Julius Honka,Julius Honka,julius honka,julius honka
8477946,Dylan Larkin,Dylan Larkin,dylan larkin,dylan larkin
8477947,Sonny Milano,Sonny Milano,sonny milano,sonny milano
8477948,Travis Sanheim,Travis Sanheim,travis sanheim,travis sanheim
8477949,Alex Tuch,Alex Tuch,alex tuch,alex tuch
8477950,Tony DeAngelo,Tony DeAngelo,tony deangelo,tony deangelo
8477951,Nick Schmaltz,Nick Schmaltz,nick schmaltz,nick schmaltz
8477952,Robby Fabbri,Robby Fabbri,robby fabbri,robby fabbri
